,id,joke,funny,irony,exaggeration,wordplay,deprecation
0,B5h311TS7h,"[""I couldn't figure out how the seat belt worked. Then it just clicked.""]",2,0,0,1,0
1,2o4MZ8pjNuc,"It was so cold yesterday my computer froze. My own fault though, I left too many windows open.",2,0,0,1,0
2,mGlbFtk3Tvc,[['Why did the m&m go to school? Because it wanted to be a Smartie!']],2,0,0,1,0
3,1wkqrcNCljb,"[[""Did you know that protons have mass? I didn't even know they were catholic.""]]",2,0,0,1,0
4,trc2EYT0ob,[['The invention of the wheel was what got things rolling']],2,0,0,1,0
5,FBQK6MexPuc,"['My friend told me that pepper is the best seasoning for a roast, but I took it with a grain of salt.']",2,0,0,1,0
6,eVKRZTKeiib,"['A man is washing the car with his son. The son asks...... ""Dad, can’t you just use a sponge?""']",2,1,0,1,0
7,HY08E6U0Dtc,"[[[""What's the difference between roast beef and pea soup. Anyone can roast beef, but nobody can pee soup.""]]]",2,0,0,1,0
8,s49h3ElVnrc,"['I burned 2000 calories today, I left my food in the oven for too long.']",2,0,0,1,0
9,tcFBIm3gyd,"[[""What's brown and sticky? A stick.""]]",2,0,0,1,0
10,t4MJRuXDIe,"[[[""Why do you never see elephants hiding in trees? Because they're so good at it.""]]]",2,0,0,1,0
11,iGQZDAIRZDd,[[['Why did the burglar hang his mugshot on the wall? To prove that he was framed!']]],2,0,0,1,0
12,CIt49pjG6wc,['Why don’t skeletons ever go trick or treating? Because they have nobody to go with.'],1,0,0,0,0
13,2Luc21TSnb,[['Have you heard the story about the magic tractor? It drove down the road and turned into a field.']],3,1,0,1,0
14,FdFYvkGlysc,[['Waking up this morning was an eye-opening experience.']],2,0,0,1,0
15,ORKmyAIYvzd,"[['No matter how kind you are, German children are kinder.']]",1,0,0,1,0
16,6wXLeVDQukb,['Frankenstein enters a bodybuilding competition and finds he has seriously misunderstood the objective.'],2,1,0,0,0
17,xHY8xsHYTnb,[[['What lies at the bottom of the ocean and twitches? A nervous wreck.']]],2,0,0,1,0
18,ciiNuXDY0wc,[[['Where did Captain Hook get his hook? From a second hand store.']]],2,0,0,1,0
19,9hiGeNZ0Tnb,[['They tried to make a diamond shaped like a duck. It quacked under the pressure.']],2,0,0,1,0
20,ZgyPZDtkbFd,[['What do you call a bear with no teeth? A gummy bear!']],2,0,0,1,0
21,6MR79MJ6h,[[['My boss told me to have a good day... so I went home.']]],1,0,0,0,0
22,UnWS0wcF6Ed,[['Every machine in the coin factory broke down all of a sudden without explanation. It just doesn’t make any cents.']],2,0,0,1,0
23,c2TSfxXgqrc,['Why does Superman get invited to dinners? Because he is a Supperhero.'],1,0,0,0,0
24,tPuPm3EYDAd,['What do you call an alligator in a vest? An in-vest-igator!'],2,0,0,1,0
25,EBAsPfiNuzd,[[['What did one plate say to the other plate? Dinner is on me!']]],2,0,0,1,0
26,MJB511wAXvc,[['What did the ocean say to the beach? Thanks for all the sediment.']],2,0,0,1,0
27,wA5wX0wXLmb,[[['What animal is always at a game of cricket? A bat.']]],2,0,0,1,0
28,lGJmrrzAsc,[[['A termite walks into a bar and asks “Is the bar tender here?”']]],3,0,0,1,0
29,FdN7przPCtc,"[[[""You can't run through a camp site. You can only ran, because it's past tents.""]]]",2,0,0,1,0
30,aaUKeahqWvc,[[['This is my step ladder. I never knew my real ladder.']]],3,0,0,1,0
31,jNmykbUSSvc,"[['I went to a book store and asked the saleswoman where the Self Help section was, she said if she told me it would defeat the purpose.']]",1,0,0,0,0
32,7p41Lmbpjqc,[['What has three letters and starts with gas? A Car.']],1,0,0,0,0
33,v4wAlO7USf,[['What type of music do balloons hate? Pop music!']],2,0,0,1,0
34,eFlVnrOClyd,[['I don’t play soccer because I enjoy the sport. I’m just doing it for kicks.']],2,0,0,1,0
35,TnWnbpbU8pb,[['How do you teach a kid to climb stairs? There is a step by step guide.']],1,0,0,1,0
36,eNJm3Tfaxc,[['People are shocked to discover I have a police record but I love their greatest hits!']],1,0,0,0,0
37,X8pWSKJRZg,"[""What does a clock do when it's hungry? It goes back four seconds!""]",2,0,0,1,0
38,SvPRCIeiNuc,['How does a dyslexic poet write? Inverse.'],2,0,0,1,0
39,a218pbMmOmb,"[[[""What's the best thing about elevator jokes? They work on so many levels.""]]]",2,0,0,1,0
40,V0gyPusWSCd,"[['Why does it take longer to get from 1st to 2nd base, than it does to get from 2nd to 3rd base? Because there’s a Shortstop in between!']]",2,0,0,1,0
41,NCAIYLeNe,"[[['I fear for the calendar, its days are numbered.\n']]]",3,0,0,1,0
42,wX0gNuXgVnb,[['What did the Buffalo say to his little boy when he dropped him off at school? Bison.']],2,0,0,1,0
43,4wciyk3EBAd,"[[""I got a reversible jacket for Christmas, I can't wait to see how it turns out.""]]",2,0,0,1,0
44,L6UnyP7Unyd,"['“Doctor, I’ve broken my arm in several places” Doctor “Well don’t go to those places.”']",2,0,0,1,0
45,NCQfqHYgaFd,"[[[""I'm glad I know sign language, it's pretty handy.""]]]",2,0,0,1,0
46,oOR7hFdx5Ed,"[[""I wouldn't buy anything with velcro. It's a total rip-off.""]]",2,0,0,1,0
47,bMus4MZDAlb,"[""Why does Waldo only wear stripes? Because he doesn't want to be spotted.""]",2,0,0,1,0
48,NZDlb299Uf,[[['Where do sheep go to get their hair cut? The baa-baa shop.']]],2,0,0,1,0
49,YvkV8xXnjyd,['Why did the cowboy have a weiner dog? Somebody told him to get a long little doggy.'],1,0,0,0,0
50,HQfNZDIRSnb,[['A quick shoutout to all of the sidewalks out there... Thanks for keeping me off the streets.']],3,0,0,1,0
51,mG61giiy5wc,"[[[""Why didn't the number 4 get into the nightclub? Because he is 2 square.""]]]",2,0,0,1,0
52,9pOR7pzItrc,[[['How do you make a water bed more bouncy. You use Spring Water']]],2,0,0,1,0
53,1oOfFlOfaxc,[['What do you do on a remote island? Try and find the TV island it belongs to.']],2,0,0,1,0
54,0wcFBQfiGBd,['Did you hear the joke about the wandering nun? She was a roman catholic.'],3,0,0,1,0
55,aFQZo49haxc,"[[[""Why do cows wear bells? Because their horns don't work.""]]]",1,0,0,1,0
56,FdNZTnWvHBd,"[['I’ve just been reading a book about anti-gravity, it’s impossible to put down!']]",2,0,0,1,0
57,apO7pW08pzd,"[[['It\'s been months since I bought the book ""how to scam people online"". It still hasn\'t turned up.']]]",3,1,0,0,0
58,6EYLBscN7wc,"['This furniture store keeps emailing me, all I wanted was one night stand!']",2,0,0,1,0
59,vcNJRnrcNCd,[[['How does Darth Vader like his toast? On the dark side.']]],2,0,0,1,0
60,69xAsrHYDAd,"['Why did Mozart kill all his chickens?\r\nBecause when he asked them who the best composer was, they\'d all say ""Bach bach bach!""\r\n']",3,0,0,1,0
61,ly5hNR7w5Ed,"[['I tried taking some high resolution photos of local farmland, but they all turned out a bit grainy.']]",2,0,0,1,0
62,caxscaMRnjb,"[""Did you know the first French fries weren't actually cooked in France? They were cooked in Greece.""]",2,0,0,1,0
63,AXnrrcNmyAd,['Why do bananas have to put on sunscreen before they go to the beach? Because they might peel!'],2,0,0,1,0
64,GlGBIY0wAAd,[[['How much does a hipster weigh? An instagram.']]],3,0,0,1,0
65,xXSv492wPmb,[['What is red and smells like blue paint?\r\nRed paint!']],2,0,0,1,0
